Melee	"CB2016 Pools "	" MVG | D. Disciple "	(Pikachu)	"Wape N Vape "	(Peach)	" SSBM "	K090MFJvytE
SSB4	"CB2016 Doubles "	" PG | ESAM & PG | MVD "	None	"GGA | Dan & GGA | Nite - SSB4 GF - Smash Wii U - Smash "	None	4	DGfhftlCbuE
SSB4	"CB2016 Doubles "	" PG | ESAM & PG | MVD "	None	"Triple R & Jibca - SSB4 LF - Smash Wii U - Smash "	None	4	EuyUFRQKrVw
SSB4	"CB2016 Doubles "	" Triple R & Jibca "	None	"Ned & Vexx | Day - SSB4 Losers Semis - Smash Wii U - smash "	None	4	9hIxJifpe-M
SSB4	"CB2016 Doubles "	" PG | ESAM & PG | MVD "	None	"GGA | Dan & GGA | Nite - SSB4 WF - Smash Wii U - Smash "	None	4	rKR5C6y5s_U
SSB4	"CB2016 Doubles "	" Triple R & Jibca "	None	"E2C | Tyroy & Demitus - SSB4 LQ - Smash Wii U - Smash "	None	4	5Z-XWk0khyw
SSB4	"CB2016 Doubles "	" Zinoto & P2O "	None	"E2C | Tyroy & Anonymous Moniker - SSB4 - smash Wii U  - Smash "	None	4	bb9SXw3aD18
SSB4	"CB2016 Doubles "	" Skorpio & Shinjoebi "	None	"Vexx | Day & Ned - SSB4 - Smash Wii U - Smash "	None	4	Iryn4SCBQSU
SSB4	"CB2016 "	" PG | ESAM & PG | MVD "	None	"GGA | JJRockets & GGA | Demitus - WS - Smash Wii U - smash "	None	4	Tsjn9EuZaJs
SSB4	"CB2016 Doubles "	" Triple R & Jiba "	None	"GGA | Nite & GGA | Dan - SSB4 WS - smash Wii U  - Smash "	None	4	Q7R3KkDCVjg
SSB4	"CB2016 Doubles "	" Vexx | Day & UR | Ned "	None	"SN | Viev & GG | Nom - SSB4 - Smash Wii U - Smash "	None	4	x1D_h9yKCX8
SSB4	"CB2016 Doubles "	" GGA | Nite & GGA | Dan "	None	"Xane & Jabe - SSB4 WQ - Smash Wii U - Smash "	None	4	V6znf4IjXB8
SSB4	"CB2016 Doubles "	" E2C | Tyroy & Ananymous Moniker "	None	"Skorpio & Shinjoebi  - Smash Wii U - Smash "	None	4	mN1OhN7lCyg
SSB4	"CB2016 Doubles "	" PG | MVD & PG | ESAM "	None	"Rishmael & 9ner - SSB4 Tournament - Smash Wii U - Smash "	None	4	wwvnoqNWI3A
SSB4	"CB2016 Doubles "	" PG | Esam & PG | MVD "	None	"smash1000 & Ori - SSB4 Tournament - Smash Wii U - Smash "	None	4	qV8dZ24aMt0
